codigo_municipio_dv_agrupado,municipio_agrupado,uf,ano,vitimas_feminicidio,vitimas_homicidio_doloso,vitimas_lesao_corporal_seguida_de_morte,Mandado de prisão cumprido,vitimas_transito_ou_decorrencia_dele,vitimas_sem_indicio_de_crime,vitimas_latrocinio,vitimas_suicidios,Tentativa de feminicídio,vitimas_tentativa_homicidio,vitimas_totais,ano_pib,codigo_municipio_dv,vl_agropecuaria,vl_industria,vl_servicos,vl_administracao,vl_bruto_total,vl_subsidios,vl_pib,vl_pib_per_capta,CO_MUNICIPIO,Total_Habitantes
5217302,PIRENÓPOLIS,GO,2020,0.0,4.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,11.0,24.0,2020,5217302,157751.146,43138.578,186961.661,108441.029,496292.415,31941.396,528233.811,21075.4,5217302,26690
5217302,PIRENÓPOLIS,GO,2021,0.0,10.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0,9.0,30.0,2021,5217302,169945.101,48615.964,261504.321,116833.721,596899.108,43429.535,640328.642,25391.73,5217302,26690
5217609,PLANALTINA,DF,2020,2.0,37.0,1.0,0.0,24.0,0.0,2.0,9.0,0.0,41.0,116.0,2020,5217609,118752.468,122030.905,501521.639,443629.395,1185934.407,94967.113,1280901.52,14131.75,5217609,105031
5217609,PLANALTINA,DF,2021,1.0,15.0,0.0,0.0,32.0,0.0,2.0,5.0,0.0,30.0,85.0,2021,5217609,158670.155,130528.795,578736.884,460722.392,1328658.225,124342.525,1453000.75,15906.74,5217609,105031
5217609,PLANALTINA,GO,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,5217609,54459.498,87927.284,384400.576,324339.818,851127.176,63679.524,914806.7,10458.04,5217609,105031
5217609,PLANALTINA,GO,2016,0.0,45.0,1.0,0.0,14.0,6.0,2.0,3.0,0.0,88.0,159.0,2016,5217609,73379.422,86818.453,391745.743,345222.005,897165.623,60985.237,958150.861,10866.1,5217609,105031
5217609,PLANALTINA,GO,2017,0.0,46.0,1.0,0.0,23.0,8.0,5.0,3.0,0.0,47.0,133.0,2017,5217609,69427.401,90874.727,432188.597,360510.151,953000.875,64598.195,1017599.071,11451.32,5217609,105031
5217609,PLANALTINA,GO,2018,1.0,53.0,1.0,0.0,7.0,9.0,2.0,6.0,2.0,50.0,129.0,2018,5217609,78250.197,94791.575,471899.908,392625.017,1037566.698,78577.831,1116144.528,12515.5,5217609,105031
5217609,PLANALTINA,GO,2019,1.0,32.0,0.0,0.0,9.0,11.0,4.0,10.0,2.0,34.0,101.0,2019,5217609,95233.221,108130.708,488183.691,427122.722,1118670.342,85925.761,1204596.103,13396.61,5217609,105031
5219753,SANTO ANTÔNIO DO DESCOBERTO,GO,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,5219753,11603.377,38231.101,230009.388,248676.26,528520.125,37183.288,565703.414,8082.86,5219753,72127
